SNR = 5 ; totalerror1 = 24873; totalerror2 = 192
SNR = 5 ; totalerror1 = 37149; totalerror2 = 512
SNR = 5 ; totalerror1 = 39818; totalerror2 = 812
SNR = 5 ; totalerror1 = 52525; totalerror2 = 1083
SNR = 5 ; totalerror1 = 61988; totalerror2 = 1188
SNR = 5 ; totalerror1 = 65211; totalerror2 = 1466
SNR = 5 ; totalerror1 = 84590; totalerror2 = 1778
SNR = 5 ; totalerror1 = 92058; totalerror2 = 2088
SNR = 5 ; totalerror1 = 100126; totalerror2 = 2329
SNR = 5 ; totalerror1 = 101663; totalerror2 = 2705
SNR = 5 ; totalerror1 = 102161; totalerror2 = 2951
SNR = 5 ; totalerror1 = 109194; totalerror2 = 3264
SNR = 5 ; totalerror1 = 111967; totalerror2 = 3533
SNR = 5 ; totalerror1 = 114991; totalerror2 = 3904
SNR = 5 ; totalerror1 = 118303; totalerror2 = 4083
SNR = 5 ; totalerror1 = 125498; totalerror2 = 4404
SNR = 5 ; totalerror1 = 133731; totalerror2 = 4692
SNR = 5 ; totalerror1 = 134236; totalerror2 = 4990
SNR = 5 ; totalerror1 = 146609; totalerror2 = 5328
SNR = 5 ; totalerror1 = 148688; totalerror2 = 5428
SNR = 5 ; totalerror1 = 156176; totalerror2 = 5648
SNR = 5 ; totalerror1 = 169418; totalerror2 = 5952
SNR = 5 ; totalerror1 = 178080; totalerror2 = 6245
SNR = 5 ; totalerror1 = 181368; totalerror2 = 6653
SNR = 5 ; totalerror1 = 205953; totalerror2 = 6892
SNR = 5 ; totalerror1 = 212044; totalerror2 = 7215
SNR = 5 ; totalerror1 = 213795; totalerror2 = 7580
SNR = 5 ; totalerror1 = 229637; totalerror2 = 7864
SNR = 5 ; totalerror1 = 232207; totalerror2 = 8148
SNR = 5 ; totalerror1 = 233171; totalerror2 = 8466
SNR = 5 ; totalerror1 = 234849; totalerror2 = 8723
SNR = 5 ; totalerror1 = 248483; totalerror2 = 9010
SNR = 5 ; totalerror1 = 251530; totalerror2 = 9237
SNR = 5 ; totalerror1 = 254635; totalerror2 = 9496
SNR = 5 ; totalerror1 = 263575; totalerror2 = 9842
SNR = 5 ; totalerror1 = 277962; totalerror2 = 10171
SNR = 5 ; totalerror1 = 288142; totalerror2 = 10465
SNR = 5 ; totalerror1 = 288676; totalerror2 = 10766
SNR = 5 ; totalerror1 = 304089; totalerror2 = 10919
SNR = 5 ; totalerror1 = 312628; totalerror2 = 11166
SNR = 5 ; totalerror1 = 325258; totalerror2 = 11427
SNR = 5 ; totalerror1 = 329818; totalerror2 = 11750
SNR = 5 ; totalerror1 = 334224; totalerror2 = 12096
SNR = 5 ; totalerror1 = 343322; totalerror2 = 12538
SNR = 5 ; totalerror1 = 357067; totalerror2 = 12806
SNR = 5 ; totalerror1 = 364722; totalerror2 = 13133
SNR = 5 ; totalerror1 = 368186; totalerror2 = 13421
SNR = 5 ; totalerror1 = 371952; totalerror2 = 13728
SNR = 5 ; totalerror1 = 373553; totalerror2 = 14016
SNR = 5 ; totalerror1 = 386755; totalerror2 = 14288
